title,type,sport,minScore,targetAgeMin,targetAgeMax,description,link,source,status,createdAt,updatedAt
IPL 2026: How India cricket team is benefiting from IPL's reach - BBC,Training,Various,0,0,100,IPL 2026: How India cricket team is benefiting from IPL's reach | BBC (Source: BBC),https://news.google.com/rss/articles/CBMiZkFVX3lxTE5UY3ZHNXRJclktaDBWdjF1cFYwbTZqdFg4TTVPaS1tdl9SVkprOGoya1JTTG1BTEVIdXVhdU9sd3JoM2ZWQzdvblFrSU9kN1o0RC05a0xoTVRqQ0JPNkQwZVlIaVJPQQ?oc=5,Auto-Fetched,Pending,2026-04-21T07:47:23+00:00,2026-04-21T07:47:23+00:00
IndianSportsHub - indiasportshub.com,Event,Various,0,0,100,IndianSportsHub | indiasportshub.com (Source: indiasportshub.com),https://news.google.com/rss/articles/CBMi4wFBVV95cUxPTFdZbUd0cDZWZXBNd3ZYTUc1Nl9TUDd1QTdKQ1Z6bFNWZF9sanZoUDhSNWtxa1haN2szcjdqV1U2UjZneGd4d2lOT1NjdTBVMjBodUtxcFdCazA3X0ZoOWVaLVdwU2otTm9PSC1hN2FZWGhlbGxVQWoyakR0UmIxRWZ0T3BpUkZ1WE5xQ0k3eFdpa2Eza0RSeTZsMzk5YzloY0hmSUp0ckRUVDRhUHc4WDNzSEpySGRTRTVZQlhlQmpHaWJjenJ4TlRzR1JEdkpFaWZPR3dFaUxtZGtJdVdCUDROOA?oc=5,Auto-Fetched,Pending,2026-04-20T01:17:33+00:00,2026-04-20T01:17:33+00:00
Sports trials to kick off in Jalandhar on April 4 - The Tribune,Event,Various,0,0,100,Sports trials to kick off in Jalandhar on April 4 | The Tribune (Source: The Tribune),https://news.google.com/rss/articles/CBMimgFBVV95cUxPV0s2RG4ySDZsQW5qZFUxSjZyTmV0bFY4dlhRMDJSNGU4alFOenZUTHVkZ01OcUNwOTZDR2VyZDN3S2FCNHV0dWNVVUk3eGUwSVNZX25QanFaR29KdmZkWlRKTzNScGxqUjFCcTFjNE95WlV6TjRqZHloWkM3TzdHU2cwMmdRYW9UZzdxVXJ4UHJYMWRMZnpSN2NR0gGeAUFVX3lxTFBIWUMxWm9kUmxUdFNkcmtBUWJhUEVmN0VyakxWWklqMHdIZWNCUFF3X2QyVVBra2thMUhjR0txN3dIUG9ERVBUZUthWFRDYmNMajkxdVZPb0VyRjVFQVVQWExHYWNBUVROYUZlSlp3NHdFOHh6eWt1dkhkYmdRYVlMS3NZRzZTLWVlaTJ6UlFPeG92eHZNWGIxOVdyem9R?oc=5,Auto-Fetched,Pending,2026-04-03T07:00:00+00:00,2026-04-03T07:00:00+00:00
HC seeks response on uneven sports quota in Chandigarh admn jobs - The Indian Express,Job,Various,0,0,100,HC seeks response on uneven sports quota in Chandigarh admn jobs | The Indian Express (Source: The Indian Express),https://news.google.com/rss/articles/CBMixAFBVV95cUxQOVBRVnhnSG9YNnZ5NVRzOVhzZHZxZXRwaC1FM0x0dlZ5cXY3d09HTmU1VjNicU5JSWY4Q3ozU2tVS2xtTVhyZlZlZHZqTGdaelZSZlZNS0trWndIc2hGNS1hVWl3SW8zajdZRUwxd0RmR1piMFIxaHI2OENGbFkzM2pDOG0yT2pRMkVaSS1UdFE3MGlZUzlQSWNQR2VhcFlXT3pXZUIwWDNXQkYtRGFBdTJNWTlUYUVxZ3JwNUZzSmJLekEt0gHLAUFVX3lxTE9RaVZyMWtyUjQxcHlqNjhBNlYzVXROZTJnc1I4X0stLXJHRzE5NmJ3dzNXa2ZDNmRhWUlTZHZINGtCaThpUjFPRHdKcER3bElMeVpmakVBX0ZDcE9SLUtpUENYM3dEOTYwYm1rRGxaWDBWNXVKVE9FcU41TWJiMzNLMWlNb0t5YVhEZDlIWVlfUGdtLUpEMHh3aVdhY29zZ2VHWlM1VFJjd1BiNERRQnJtdGoxYTRtR2xBeXpHM2dNU3FLSmsxNkhKZmZF?oc=5,Auto-Fetched,Pending,2026-04-03T07:00:00+00:00,2026-04-03T07:00:00+00:00
Khelo India Tribal Games - Press Information Bureau,Training,Various,0,0,100,Khelo India Tribal Games | Press Information Bureau (Source: Press Information Bureau),https://news.google.com/rss/articles/CBMiekFVX3lxTE9acUYwNGhJQXJxME9YbHVfWUNPWW1Hbk12LWNScFlIQmVfZGtLaDE0YXg0cWU2Rmozc3puYzZZblRKUW1UeHR1MzQxbWk5T0lleFAxYVNxRzVMWk1fdVZhcWNFSzZRNWN0SkRSUUxwOFdoTnZBWDJiRlBB?oc=5,Auto-Fetched,Pending,2026-03-27T07:00:00+00:00,2026-03-27T07:00:00+00:00
STAIRS Relaunches School Football League Scouting Program - Passionate In Marketing,Training,Various,0,0,100,STAIRS Relaunches School Football League Scouting Program | Passionate In Marketing (Source: Passionate In Marketing),https://news.google.com/rss/articles/CBMiwgJBVV95cUxNV1ZBckpvVkp1SWRNdU5HZk9ENDJLb1A0MHB4TlMxdVFxZ0tvWV9XcFBtcGJZRUJ0bF9kcU01V2tTc0hrSHl3dzNudGZKZzV4SThoLS1LOXFzSmhfX0lvY21Ub2NfLWt0cFdkV2hpWEFzMEdSc1o4SmdHV3RGLWpielpNUFdoWm9MWU4yWHU1M1I0OFA4elNEcTZCcW02QWV5dzhqT0NtTThCSkJ3Wk9uWmRDMGR1X00wdW0yRDhnbXU3dzhpNjJ0aks5VkxHcUEzdFJaZnV6TnZxSWdiclFQLXRIclhGNlg3aER4RWFLS2tLNC1ZXzhKbkV3Sk1lTFgzRmtnN1VOQUV2R29ueGFIRDlyajRtMnllUGgxdWZSbVhYeDFxSnJLMFJHdkVMa2ZMUTJqVi1rU3lwU29DY0UtMm53?oc=5,Auto-Fetched,Pending,2026-03-13T07:00:00+00:00,2026-03-13T07:00:00+00:00
"What is the ASMITA Initiative Check Objectives, Features and Benefits - Jagran Josh",Scholarship,Various,0,0,100,"What is the ASMITA Initiative Check Objectives, Features and Benefits | Jagran Josh (Source: Jagran Josh)",https://news.google.com/rss/articles/CBMiowFBVV95cUxNM1FZVVhsR0VaZS1qYUhOT3dGRnJKcUh3TjJYalZDN1huWU5aYjVJU00zeEJvZWExV0FWRGttcmJ5Nzc5akRnN2pzeDVSWm9yT0dONlRUcEluQXJBSU8teDRaN1BDTzhzbXdmOTUwQkxlSEE0UzZDbjFQVU8xeEtVMXFjTDBiR3dBTlc3SXdaOENXYXhKcHNJSjBBQjVjQURyOFFV?oc=5,Auto-Fetched,Pending,2026-03-09T07:00:00+00:00,2026-03-09T07:00:00+00:00
Trump prepares sweeping order on college sports: Are payments to student athletes straining US universiti - The Times of India,Scholarship,Various,0,0,100,Trump prepares sweeping order on college sports: Are payments to student athletes straining US universiti | The Times of India (Source: The Times of India),https://news.google.com/rss/articles/CBMikAJBVV95cUxQWURBUWZvbnUxcmRrblo1OUFKaGJwX0l1QUpSVjR1eEhfWmR3U2tMOVdveHoyTkNuai1fOHROX2QxMm5tZTRnNnpKcE9HMXFqNXN6Zm5XN0U3VG5XcUZrTGZZbndFQ1BnZkdxc29mLWd3eGpweWd4bEZ3VjRORW83d2FndnpzSHZ1eWZCQW1wUlM2ZFZfdlh4X3ZxNWtSejlBNk4tcUwwUGV5dDB6M0RiTHQ0TG8yeGxCSUNYaDN0RV9ucHdESGhDYVYxRkhlX1g3dnI5LTA2Nmt5LS1MRHozdnE4cVdMY0lrQ3VybkFEOXlLUXdYQ1pmaVJlZDN6c3gyWk9yMloyZTExUm1lWFlyV9IBlgJBVV95cUxPREsyMXl2T1pQWEhLUGw2SjZvUFlaLXVnV294SWgwblFaVks4NnBvZkRTVXBPa2luSmczek5mVzQtbFBJR2lVS0p6TG9RNWN2cWtoU0hILVl4Rkdob2Nkb1N0VGJBNkpVaVhmaC1DN1Q4OVcyV1VLS2d3WjJsU2RsaTdwVFptQUJZTm01UlZSMm94V1dTdXZ1dEt2V0tsVkVBdWdzZngyYTNma0xEY19nY2lFOTRfcW03STdMOTVXSzZIM3BXT2Y5QWs4TlRwSERUNkJBYkhVYmVZeUNZTHpfMU52ZVI0U0Z3ZGNNV3oyVUdORG1OZDdfOTlGcm5veGNvX0QwUEFiYmtvWkg2c21PcmxEbFN4UQ?oc=5,Auto-Fetched,Pending,2026-03-07T08:00:00+00:00,2026-03-07T08:00:00+00:00
Ranga Reddy to hold jr basketball trials on March 10 - The Hans India,Event,Various,0,0,100,Ranga Reddy to hold jr basketball trials on March 10 | The Hans India (Source: The Hans India),https://news.google.com/rss/articles/CBMinAFBVV95cUxQbjItaHl2c2N2SzlkMDZPX19wTUZZcDZOaWd3S3hjSm1rX1pKVnltWGItTk5XdkdSTXNFQTVzZ3pxX2ViTlNfMTl2LTB5V1cxTUhGbFNyQVlIWjFRaEt4NFJrRVJMTjdPeC1vWUx6SDNLX1lMeG5fOVIzYUJwb0hFZE5FTGt3RTFLNjdCak4weVJEUU9hRng5QTNKMHLSAaIBQVVfeXFMUDFiNXdEcHZidlBqNV9yUEx3YjVoM1lXNnpHTkFjbFpkaXJuOTZsaXlxUC0wUWl4QllQWWFPUGVwUXJja09tVkVNWWc1OXZRckVsQm45UXBITHFUVUNYcXZuQ0lEamlHS19aaE1Fbmx0eGFJUFBsTVAxYW5xM1E0Wnp0RkxUNDdmYVZSVl9sWkJ6WTZTT01xc2ZiRXVHbmhyWHFn?oc=5,Auto-Fetched,Pending,2026-03-04T08:00:00+00:00,2026-03-04T08:00:00+00:00
WFI Releases Asian Games 2026 Selection Policy: Trials Mandatory Across All Olympic Categories - indiasportshub.com,Event,Various,0,0,100,WFI Releases Asian Games 2026 Selection Policy: Trials Mandatory Across All Olympic Categories | indiasportshub.com (Source: indiasportshub.com),https://news.google.com/rss/articles/CBMivgFBVV95cUxOR19vZDBqMnVUd0lha3VpMFJJd1pZR1JpOGFBMzVGNHBCT0VaaVRhdm9GUE1XcWVBQ01QSW5zbnIzVElaZk0yeDExemVWZzRuMGFHcnVOaUduVnhORU5wWHRuYmstY09vZm03WU5Ld29XeTVmbk5NTWx4MkRRaUhIN1V4UzdYdll5Wk9kSGZWb3VSaHhsMnNlREs5N0M1azQ2U0lIcy1lNXNVbXBORlp4S3lnYUJIRktTc2lEOGZR?oc=5,Auto-Fetched,Pending,2026-03-02T08:00:00+00:00,2026-03-02T08:00:00+00:00
